Transcribed_Text,Clean_Text,Machine_Translation,Sentiment_Label,Sentiment_Score
A YEAR AGO WERE HIT WITH A VIRUS THAT WAS MET WITH SILENTS AND SPREAD UNCHECKED THE NILES FOR DAYS WEEKS THEN MONTHS THAT LED TO MORE DEATHS MORE INFECTIONS MORE STRESS AND MORE LONELINESS PHOTOS AND VIDEOS FROM,a year ago were hit with a virus that was met with silents and spread unchecked the niles for days weeks then months that led to more deaths more infections more stress and more loneliness photos and videos from,"一年前的一年,被病毒击中,病毒遭到沉默,无声无声无声的传播,持续数日数星期,然后数月,无无声无息地传播了数日,导致更多的死亡人数增加,感染增加,压力增加,孤独照片和录像增加。",NEGATIVE,0.9954614639282227
NINETEEN FEEL LIKE THEY WERE TAKEN IN ANOTHER ERA THE LAST VACATION THE LAST BIRTHDAY WITH FRIENDS THE LAST HOLIDAY WITH EXTENDED FAMILY WHILE IT WAS DIFFERENT FOR EVERYONE WE ALL LOST SOMETHING A COLLECTIVE SUFFERING A COLLECTIVE SACRI,nineteen feel like they were taken in another era the last vacation the last birthday with friends the last holiday with extended family while it was different for everyone we all lost something a collective suffering a collective sacri,和朋友一起过最后的生日 和大家族的最后假日 而对每个人都不同 我们都失去了一件 集体受苦受难的东西,NEGATIVE,0.986311137676239
A YEAR FILLED WITH THE LOSS OF LIFE AND THE LOSS OF LIVING FOR ALL OF US BUT IN THE LOSS WE SAW HOW MUCH THERE WAS TO GAIN IN APPRECIATION RESPECT AND GRATITUDE FINDING LIGHT IN THE DARKNESS IS,a year filled with the loss of life and the loss of living for all of us but in the loss we saw how much there was to gain in appreciation respect and gratitude finding light in the darkness is,一年充满了生命的丧失 以及我们所有人的生命的丧失 但是在失去的一年中,POSITIVE,0.9653192758560181
AMERICAN THING TO DO IN FACT IT MAY BE THE MOST AMERICAN THING WE DO AND THAT'S WHAT WE'VE DONE WE'VE SEEN FRONT LINE AND THE SENTA WORKERS RISKING THEIR LIVES SOMETIMES LOSING THEM TO SAVE AND HELP OTHERS RESEARCHERS AND SCIENTISTS RACING,american thing to do in fact it may be the most american thing we do and that's what we've done we've seen front line and the senta workers risking their lives sometimes losing them to save and help others researchers and scientists racing,"事实上,美国要做的事情 可能是美国最 的事情,我们做的, 而这就是我们已经做的 我们见过的前线 和被派遣工人 冒着生命危险 冒着生命危险,有时失去他们 拯救和帮助其他人 研究人员和科学家赛车",POSITIVE,0.9917910695075989
FOR A VACCINE AND SO MANY OF YOU AD HEMING WAY ROAD BEING STRONG AND ALL THE BROKEN PLACES I KNOW IT'S BEEN HARD I TRULY KNOWS I'VE TOLD YOU BEFORE I CARRY A CARD IN MY POCKET,for a vaccine and so many of you ad heming way road being strong and all the broken places i know it's been hard i truly knows i've told you before i carry a card in my pocket,你们当中这么多人 都认为这条路很坚固 我知道所有破碎的地方都很难熬,NEGATIVE,0.9679108262062073
TIT THE NUMBER OF AMERICANS WHO HAVE DIED FOMD COET THE DATES ON THE BACK OF MY SCHEDULE AS OF NOW TOTAL DEATHS IN AMERICA FIVE HUNDRED AND TWENTY SEVEN THOUSAND SEVEN HUNDRED AND TWENTY SIX THAT'S MORE DEATHS,tit the number of americans who have died fomd coet the dates on the back of my schedule as of now total deaths in america five hundred and twenty seven thousand seven hundred and twenty six that's more deaths,已经死亡的美国人数量 已经死亡的美国人数量 已经死亡的美国人数量,NEGATIVE,0.9977951645851135
TEN WAR WAR ONE WAR WAR TWO VIA NA WAR AND NINE ELEVEN COMBINE THERE WERE HUSBANDS WIVES SONS AND DAUGHTERS GRANDPARENTS FRIENDS NEIGHBORS YOUNG AND OLD THEY LEAVE BEHIND LOVE ONES,ten war war one war war two via na war and nine eleven combine there were husbands wives sons and daughters grandparents friends neighbors young and old they leave behind love ones,10次战争 一场战争 一场战争 两次战争 一场战争 一场战争 两次战争 一场战争 九十一次战争,POSITIVE,0.9829514622688293
UABLE TO TRULY GRIEVE OR HEAL EVEN TO HAVE A FUNERAL BUT I'M ALSO  THINKING ABOUT EVERYONE ELSE WWHO LOST THIS PAST YEAR THE NATURAL CAUSE BY CRUEL FATE OF ACCIDENT OR OTHER DISEASE THEY TOO DIED ALONE THEY TOO LEAVE BEHIND LOVE ONES,uable to truly grieve or heal even to have a funeral but i'm also thinking about everyone else wwho lost this past year the natural cause by cruel fate of accident or other disease they too died alone they too leave behind love ones,连葬礼都无法真正悲伤或愈合 甚至可以举行葬礼 但我也想着去年失去 不幸的意外或其他疾病的自然原因的其他人 他们也孤独地死去 他们也抛弃了爱人,NEGATIVE,0.8730954527854919
FO'RE HURTING BADLY YOU KNOW YOU'VE OFTEN HEARD ME SAY BEFORE I TALK ABOUT THE LONGEST WALK AND YOU PARENT CANT MAKE  IS UP A SHORT FLIGHT OF STAIRS TO HIS CHILD'S BEDROOM TO SAY I'M SORRYBUT LOST MY JOB CAN'T BE HERE ANY MORE,fo're hurting badly you know you've often heard me say before i talk about the longest walk and you parent cant make is up a short flight of stairs to his child's bedroom to say i'm sorrybut lost my job can't be here any more,"你知道,你经常听到我说 之前我谈论 最长的步行走来走去, 而你父母不能和 是一个短短的楼梯 飞到他孩子的卧室 说我很抱歉,但失去了我的工作 不能再在这里了",NEGATIVE,0.9989959597587585
LIKE MY DAD TOLD ME WHEN HE LOST THE JOB AN CRAN SO MANY OV YOUV HAD TO MAKE THAT SAME WALK THI PATCHED YOU YOU LOST YOUR JOB YOU CLOSED YOUR BUSITNESS FACING  VICTION ALMEST ES HUNGER LOST CONTROL,like my dad told me when he lost the job an cran so many ov youv had to make that same walk thi patched you you lost your job you closed your busitness facing viction almest es hunger lost control,就像我爸爸告诉我的 当他失去了工作的时候 他不得不做 同样的步行式补你 你失去了工作 你关闭了繁忙的繁忙 面对震动 饥饿失去了控制,NEGATIVE,0.9996827244758606
